Response,Sentiment
Intake person was dismissive.  I'm not impressed.,N
It was very difficult to hear the customer representative.  I think the mic volume was turned low.  This was aggravating the client being served before me.  He kept complaining that the other customers were talking and he couldn't hear the person helping him.  This was not true.  The person next to him was speaking with his rep.  When I got to the window I kept having to tell the rep that I couldn't hear him.  This alone causes unnecessary aggravation,N
The wait time is ridiculous for both the phone and in-person. I waited almost 4 hours just to get a question answered.,N
It is impossible to get a hold of a phone representative. This creates a very stressful situation and experience,N
Worse EDD office in the state. Cannot get a number to talk to a representative.  Office should hire more staff.,N
I was told someone would call me in two hours to go ahead and leave. No customer service in person.,N
"The delay in getting the necessary forms, for needed documentation has left me without any income. I go to the office to bring the documents to be spoken down to.",N
I implore you guys to have more workers at state level to handle the claims such my PFL. I'm hurting. Weeks without my first payment and I have a newborn. This is hurting my ability to pay rent and bills while upkeeping my newborn.,N
Las veces que he venido me dicen cosas diferentes respecto a mi reclamo. Pero finalmente no me dan una solución.,O
No disabled person should have to wait 5 to 6 hours in order to be seen by an SDI representative. The process at the Oakland office needs to be reviewed and several changes made!,N
La persona masculina se burló de mi acento. De inglés no fue nada profesional deberían de contratar más personas con mejor educación por que de mi parte me sentí descriminado,N
"En la oficina están tren ventanas de atención al cliente y de las tres solo atiende una persona, hay otros trabajadores que solo se pasean por la oficina, y las personas que atiende de 10 solo le resuelven el problema a una. Llama uno atención al cliente por teléfono y nunca contestan y ni para dejar mensaje, en línea no hay respuesta el servicio es muy negligente, pasan los meses antes de recibir el pago y con errores en días y salario, vine a la oficina y tampoco resuelven y te pasas más de 4 o 5 horas para que te hagan dar más vueltas",N
I think there should be more automated methods to be able to work with someone like online chat. It's physically painful to be at the office during this disabling time and have to pay an uber since you're never able to get an agent on the phone. The inbox site does not work. It says you will receive a response in 7-10 days but it's been 3 weeks and still no response. We should be able to see details of where our claim is and why things are pending any why payments have not been sent. Even coming into the office you are not given information,N
SDI online is not reliable. It did not notify if you are missing a document that need to be submitted. My claim has been delayed for two months. I did not realize that my claim is missing a document until came to the office. I did try to call in for status of my claim before coming to the office but It is almost impossible to get connected to a representative agent here. So frustrated...,N
"Your online services do not always work. I was getting an error message when I tried to open a new claim and it took me from November 22 to January mid January to get anybody on the phone. He didn't tell me that I was on a 15 minute time limit. He was not all that helpful little bit rude and ended up hanging up on me because my time was up and I did not have the issue resolved.  But I had enough information to get things moving. And then they stopped and it took me through today, January 31 to get somebody back on the phone and this is calling more than 10 times a day five days a week. I got to the wrong people the first time somehow the second time I got somebody on the phone. Little bit rude. He released my Benefits because I called, but I was in the middle of asking a question when the time limit was up and he hung up on me.   I had to drive to the downtown office, which, although she was helpful didn't really wanna listen to what I had to say for the questions I asked.  There's not",N
This system needs to change . You can't speak to anyone on the phone and online is impossible due to passwords and old emails that were used in the past. This system is awful!!,N
"They do not care about the people who come to this office. We all where burning up in the sun. The security guard moved the line to the shade and a state employee came out and to everyone to get back on the other side with no shade. There where babies, elderly and obviously people with disabilities. No consideration what so ever.",N
Staff was not ready when the office opened they were still getting ready to start the day at open 8am. The first window was not friendly and didn't ask questions so that I would be able to get application in the lobby area. Instead I waited for my turn and come yo find out it wasn't necessary at all. I suggest that the staff arrives 5 mins before business hours to be ready when the doors are opened.,N
"Yes, today while at your office you had an older white lady checking people in.  She was very condescending with people she was checking in and at one point she told her partner.  I live in a state where people need to speak English.  She was rude with individuals who don't speak English.  I was very disappointed!",N
"No rep was available to answer the phone any time I have tried calling (multiple times). It took an entire day to get 3 questions answered at the office. Each time I was told I needed to pull a new number and wait (up to an hour) for a phone call back from a rep to vet my issue and come back into the office. This is a complete waste of time and resources. I was in the office from 0800-1430 to handle LITERALLY 3 simple questions/issues (restoring access to my online account, submitting PFL verification, ensuring my direct deposit is established). At one point I was even told to pull a new ticket because I forgot to ask one question to the rep before leaving the office. ABSOLUTELY RIDICULOUS!!!!",N
"The fact that we don't get any help in person and you have to wait 24 hours before you get any help that makes your visits a waste, you guys need to work in person immediately other than remote simple questions it will take no more than 10 minutes, I saw people inside the office sitting and chatting instead of helping customers so what kind of employees are those we need help people who work and help us because at the end of the day we pay for it. I wish I can report this to the higher command so you guys can make changes to help people.",N
"This visit was by far the WORST experience. I do not mind waiting when needed but there needs to be a better system to notify those waiting when their number is up. The staff was beyond rude not only to myself but to others. No sign of empathy or care. This is the disability department and yet there is no sign of accommodations to those individuals with disabilities. Making them go up & down to check on their number every few minutes. No sign of empathy from the employees to those who are going through a hard time & trust me do NOT want to be there. An employee told someone ""LIKE I SAID NO MORE NUMBERS WHAT IS HARD TO UNDERSTAND? RETURN TOMORROW WHAT DONT YOU GET? EVERYONE MAKES IT SO DIFFICULT ITS NOT HARD TO UNDERSTAND"". Beyond rude.",N
"The online responses feel unhelpful and impersonal, almost as if an AI is replying without understanding my issue. Additionally, they don't answer the phone, so I visited their office in person. After signing in, I waited for hours, only to be called on the phone instead of meeting with someone face-to-face, despite being right there in the office.",N
"Sylvia is rude, uncaring and a complete dumpsterfire. She actually had the audacity to tell me ""Just go get a job."" Hmmm, why did I not think of that? Did it ever occur, that, I am applying for disability because I am disabled? Did that ever cross her mind? Is this what representatives think is normal behavior? To treat the constituent like crap and discriminate them and act like their disability is not worthy? Do I have to be dying and dragging myself on the ground to be considered? Outrageous and Pathetic.",N
"1.5 mos of frustration with edd. i must give up, thank God i have large bank account, and not pay checks to pay check. very sad, edd. have not seen follow ups $$$$ anything, getting nowhere online or on the phone.. who runs the edd needs to be terminated",N
Why office disability NEVER answers calls???. So many people need to speak with representatives. We don't have a car to be driving to the offices . We need to be able to speak with someone from disability office. They are Never Available!!! Is very disappointing.,N
Office was incredibly crowded. Unable to stand in lobby or sit. Not allowed to stand in hallway. Health risk. We had an easy case that should have been dealt with online since it was standard pregnancy. Staff were rude to other customers who didn't understand/speak English well. Very disappointed that our underprivileged are treated this way when they are told there are systems to help. The systems are far too task driven for the average population. The office is grossly undersized for one of the largest physical/populations in the state.,N
"I am being denied my funds due to employment verification, I was told my employer is denying my current employment and that I have ever worked for my employer. I was told two weeks and it has been asked to assist in the matter and was told I cannot do anything about it. I came to office today 1/29 to follow up and spoke to same person and which stated same but with time undetermined. I then was referred to Vic (manager). 1/15 I spoke to a rep that I requested a name and manager ""Vic"" said he cannot give a name of who I spoke to. Spoke to rep.,  they were waiting on proof of employment. Time would be 2 weeks, I asked if I can bring proof and she said no,  Edd has to call and verify. A Edd rep. said to request an email to prove my employment in case it was needed. (Manager said that information is not correct). Spoke w Lyn  on 1/29@1230: waiting on proof of employment and waiting for dr. to send in results. Saw dr. 3 weeks ago.",N
"The service was extremely slow, only one person working and another helping every once in a while. There are also lots of Spanish speaking people who are not offered any interpreter service even though it is available. This should be posted that it is available and should be one of the first things to offer when having difficulties communicating. I have seen it multiple times where they struggle to communicate because of a language barrier and interpretation services have only been offered once. This needs to be more at the forefront so people actually get the help they need and are understood. This also applies to all languages, just we tend to see more Spanish in this area. This comes off as a racist method by not making it easier for people when the service is clearly available.",N
"I received error code E324, attempted multiple times to call without ever being answered then came in person and was told I need to wait 30 minutes for a phone call and have been waiting more than 2 hours checked in multiple times and requested to speak with manager and was told to wait 10 minutes then continued to wait without being answered. Poor service and was told online would be quicker than mailing my forms. I am unable to work because my wife had a c section and I am primarily taking care of our newborn and don't have time to come in multiple days in a row. I have been paying into disability from my check throughout my life and they make it very difficult to file a VERY reasonable claim. You should be ashamed of your work ethic. Please call me if you care to help someone in need 9092754768",N
This is the worst system. I can not believe in todays standardization that something can not be done to make this process more efficient.,N
"I have been attempting to contact the Employment Development Department (EDD) for 2 months, but have been unable to reach anyone. I visited the office, where staff took my phone number so that someone could follow up with me. However, when I finally received a call, the representative I spoke with was extremely rude and unhelpful. Despite my polite efforts to explain my situation, she did not take me seriously and appeared to dismiss my concerns, even laughing at me. This experience was deeply disappointing.",N
Very unprofessional. Promises to call me back but they never do. No updates and no effort to provide any updates. No one cares here. Do your job please.,N
The rate at which Edd employees call people to the windows is disheartening and a waste of tax money. As a public servant I have never seen anything like this. There are more security guards than workers. Window #2 has been open for an hour. There are only 3 windows and only one consistent worker. Everyone else leaves their windows for 20 minutes and more. One windows has been open for 2 hours with over 50 ppl waiting. Unnaceptable.,N
"No one answers the phone and when you to the location, I was given a number and told me I will get a call. I didnt have service and when I saw I had a missed call. Went to the front and was dismissed right away saying my case is active and someone is working on it. Its been 30 minutes after I walked in and no one has called me. They called the numbers ahead of me and passed my number.",N
"The staff here are horrible. I had to make numerous trips to that location while recovering from back surgery. They don't give out the proper information and furthermore don't reconcile when they mess up. I was given a receipt number with a letter on it which was incorrect and when I asked them to change it they said I had to get another ticket number and wait 3 more hrs. I've been coming down here for months and yet to be given info that allows me to receive payment. As I am about to have another surgery I need to receive income. The security guards here are ill mannered, unhelpful, and untrained to deal with the capacity/ demographic of the people who come to get help. Also for people who are disabled like me and can't sit for more than 10 min without pain there are no ways  to get in contact with anyone so we're forced to be subjected to this treatment.",N
The security guard is allowing people to jump a long line outside and not providing any control or instruction to everyone waiting. He is just on his phone watching videos. Very upsetting after I've seen some people pass me while waiting in line for more than an hour.,N
"I tried to ask questions but the employees here are heartless, ruthless and without emoathy. They are not professional , treat people like crap, and feel very entitled. They function like robots without feelings and just they don't care at all I thought government employees are trained professionally to deal with customers but the two ladies  working today 9/18/24 1000 am have no respect for people. They don't deserve to be there. The only one who is more professional and courteous was the guard on duty at that time.He said he is only a guard but he behaved more like a human being than these two women employees who were just heartless. I hope their families wont be treated the way I was treated by these two employees who worked 9/18/24 at 1000 am. Just forgot their names. I know nothing is going to happen with these complaints but at least its known they behave this rude and condescending way.",N
The process has been horrendous. Had to file an appeal.  Won appeal in April and agent never filed appeal for 6 months. Had to come into office with paperwork copies. Now 22 months after filing I'm still waiting for a response. I'm told I have to wait for the agent at the hearing in April to ok the ruling g of a judge. Most financially devastating experience ever.,N
"I feel like there is no regularity to payments that should be regular and on time. I have to visit the office to move my case forward. I've been told so many times that because I visited the office, my case will now move forward. Every time I ask why did it take me visiting the office to move my case forward? I never get a straight answer. The wait times at the office are outrageously long. I count about 50 cubicles available for an employee to be stationed at and less than 10 percent are manned.",N
"Yes! I had an appointment with one of your doctors (Dr Nguyen) on 2/25/25 at the West La. Palma office.That Doctor was not very nice or friendly. He was EXTREMELY SHORT&very nonchalant. He walked in the room saying ""This will be a very short exam for EDD. They just want to know if you can really go back to work that's all this appointment is for"". He asked me less than 5 questions. That's consisted of ""why does it hurt?"" When he had me walk to the door I was limping& he asked why do you limp?What hurts when you walk?He also asked what kind of accident caused me to be out of work?After he did his ""exam"" which consisted of him saying turn ur neck left now the other way&walk to the door.That was it! Didn't ask me anything about how I was feeling or anything!Then told me that I need to get x-rays done.When I asked him did he have my medical history from the doctor I'm currently under because I was confused on why I was getting X-rays, he said No! X-rays is just what EDD requires me to do.",N
"I came to the office to turn in documents that a telephone representative told me I needed. I faxed and mailed the documents and did not hear anything back from EDD after the post office confirmed delivery. I flew in to the area and went to the office where representative Mani was very belligerent and rude about helping me, unwilling to listen as I explained to him the series of events. I begged him to take my documents and he walked away and never returned. I have him on video. I felt helpless and defeated at that moment because I've been waiting for payment since Sept 6, 2024. It's Oct 30 and nothing.   Feel free to contact me for proof. 470-836-8636",N
The website is hard to navigate and not forgiving on mistakes. Can never speak to someone competent over the phone for any issues that arise on communication and correspondence. In person is worst the operation side of things is very unorganized. No structure and one person checking someone in and one clerk to help over hundreds of people to be seen. Not a smooth straight forward process a lot of delays for very minor things. I have No faith in the state and how it's running California economy. Poor money spent on tax payers for little to no help from state on Americans right to their benefits.,N
This office is a joke and a lot of the employees are clueless of what is going on with the Status of your file. They have something new every time I come to say. My paper work was sent since November and still haven't got paid. The supervisor here Wendy was supposed to call me with a call back on status never did receive a call back. This is my sixth time here and no one seems to help. This of is ridiculous and needs some TRAINING.,N
Wait times are so long people just leave,N
Edd needs together their stuff together as a whole. It's ridiculous the lengths people have to go through just to get their money they are entitled to.,N
"People visit the office to get questions answered when they can't get through telephone. The fact one has to waste time coming to DTLA office, when there's no parking, or parking is expensive, to still not get help and instead get a phone call within 3 hours; is super frustrating. EDD needs to do better in office and on the telephones. Calls never go through!",N
"I visited this office four times over three months and have still not received my disability benefits  In addition, I have found the staff to be extremely unfriendly",N
We came into the Oakland office for more info EDD rep Chike was rude disrespectful threw my ID back to me. This is not the first time I've seen him act like this it just wasn't to me another person in EDD at the time,N
I was unable to get ahold of anyone via phone. I have called every day for two weeks and the line aid that it was too busy. I went into the office on Oct 14th and Oct 17th to attempt to resolve but the office associate told me that my insurance had to submit an extension online (which they did twice). I had a reference number but they refused to take it.,N
"Why is everything always so fucking hard to get basic help? Maybe hire more people? Change the infrastructure. Do something. This ""service"" fucking sucks.",N
Today I visited the Oakland office. I was treated unfairly by the security guard in room 325. I made a complaint with the office manager. The security guard was very rude and disrespectful.,N
"I file intermittent PFL Bonding leave. Every month I have to walk in the office in order to be paid. I filed my last claim on 12/01/24. It has been 26 days and I have not received a payment. I have young children and a newborn baby and I have not been able to pay my bills, including my mortgage and car note  because of the 25 day delay I have experienced. This is not a one time thing because of the holidays. Every month I am forced to visit the office with my newborn and I experience long wait times, exhausted and rude employees who don't have access to the PFL accounts. This is exhausting and not how I envisioned spending BONDING TIME with my newborn. I work hard at my job that I have been at for 20 years. I have paid my taxes and I expected better service when I'm taking my time to take care of my new baby. Please pay me my wages.",N
"I am trying to file a claim. I have been trying since November 22. I have not been successful in getting anybody on the phone every time I call it says that all the operators are busy essentially and says call back later and hangs up. I visited the field office. They said they can't help me. Kaiser where I had my surgery said I have to have a receipt number from the website in order for them to be able to help me. I can't get a receipt number because I'm getting an error 324 when I login and try to open a claim. I can't get anybody on the phone. I can't get anybody in the field office to help me. I can't get anybody to help me anywhere. There's no separate phone number for this. There's no frequently ask questions that covers this and helps me other than to tell me to call and when I call, I can't get anybody on the phone. This is ridiculous.",N
"1) y'all don't let the phone ring long enough and then no number to callback. Lost turn not right. Waiting forever again.  2) At the window they just receive papers but are not informed on anything. You should be able to get clear answers like a phone agent. Everything is ""will get processed within 10 days"". Never mind I hand delivered a form that had the return P.O. Box for the DTLA office. Why would it take just as long as mailing it to get an answer?",N
Minimum 3 hour visit because I could not access account online. Call in is a joke. Ever try calling in yourself????? Ridiculous. Hire more people. Train them better. Fire top management. I'm a state tax payer for 50 plus years. Embarrassing to other states. Please figure out your damn phone system!! It sicks!!,N
"There is no one to speak with regarding my paid family leave case was informed their office is up north. This office is very unorganized and feels like you get no where. Staff should be more friendly, we are unhappy regarding the situation.",N
The 1st stop at Oakland office then a second stop with the specialist they do not have good manners or able to speak politely. I have called the number all hours everyday and message on line multiple times and no one pick up phone - and phone disconnects without a chance to speak with anyone taking time of break or lunch at work to do this. So I opted to use the message center online and no one message me back or send any mails service to let me know what was happening. Then I decided to take a ride to Oakland office and took time off in the morning to go there for help as you know the reason being off work is being ill and not being pay and this is the reason we have benefits and pay taxes and fees from work for these people who sit there to help us and taking time of work is loosing hours of work with no pay. I didn't choose to be ill there a lot of people there walking around they take care of one or 2 persons then they walked away from the window and not time to wait - please help,N
"Hard to connnect to your web site.  Password issues.  Phone call , wait too long. Phone prompt too busy. Call back ?",N
The operations process is completely outdated. I have been waiting for benefits since July. I keep receiving mixed information regarding my claim. It should not take this long. I am disappointed in this government.,N
"I visited in person because I received a letter stating that my doctor's form was not received, despite having mailed it via certified mail. Leticia, informed me that I needed a physical ID to accept my document, and my online copy of ID was insufficient. When I explained the hardship of returning, she reiterated that it was policy, mentioning that someone else had returned three times for a similar situation. I expressed concern about missing the deadline and the associated costs, but she still refused to accept the document until I requested to speak to her supervisor. Eventually, she accepted it. Prior, I also tried contacting the office by phone multiple times with no success. If this is indeed the process, it is not clearly communicated, as there is no mention of it in the written flyer displayed at the office. Additionally, when I asked for Leticia's last name, she refused, citing policy again. This process is not consumer friendly. Please consider impact.  Elsa 559-304-6087",N
With all do respect. I am very disappointed that I've been calling all day and different times of the day and you can never speak to a person. Also I have turned in my application and it's been 20 days with no response. In my opinion the system is broken and can be fixed and updated to help anyone who calls. I am still waiting for a response.  Thank you for your time,N
"It is unfortunate that for PFL you cannot get anyone on the phone, truly use the online portal or go in to an office for assistance. This process adversely affects my livelihood.",N
"Don't tell people to call in if they cannot even reach anyone, completely pointless. Just tell people to come in the office.",N
"I have waited for an appeal since April. October I was awarded my disability. They took $6000 and left me with $3000.00 I am still disabled and I'm still waiting for approx $15,000.00 from disability since sept and now we are going on Dec and no payment. My home is going into foreclosure now.",N
"I filed a paper application on july 27, 2024, (claim# D1-1012-350-069) because my website account that I accessed 6 years ago was locked.   I visited the Chino hills office on 8/28/24 and was told they had 2 accounts in their system under my name, one with the correct spelling and one with the last name spelling of ""Niwman."" I was then told by a representative that the duplicate account or the incorrect spelling was going to be deleted by your offices and payment should be issued within week, then I should be able to log on and create a new account, & see status of claim. I was also told that I should receive payment within one week. It has now been two weeks, I still can't get through on the phone lines except for one time or I left a message one week ago and nobody called back. I still cannot log on online, and I still have received no correspondence from SDI.",N
"clients are taking time away from their care to come here, only to be turned away because they don't speak the language. This feels discriminatory. I offered to translate for a person ( I am an advocate I came here to help a claimant) , but I was told this would violate confidentiality. However, conversations in your office are already audible to everyone present, so there's no real confidentiality. It's essential that people are fully supported in navigating their application here, including language assistance if needed.",N
Poner más asistentes en las ventanillas ya que son so lo 3 y los trabajadores están saturados de trabajo pero son muy amables en,O
The service is so slow 71 people are waiting only 1 window open even you come in early your still waiting for 3-4 hrs,N
The wait is extremely long.  The DMV has an appointment website.  I tried calling many times and wasn't able to speak with anyone.,N
I was told that I would receive a phone call from an agent. Which I did in a timely manner after speaking with the agent I was told to wait for an extension form this far I've been waiting for 2 hours and am still waiting for it ..,O
Need to update phone system,O
Necesitamos más personal que hable español la espera es mucha para las personas que hablen español y tenemos entendido que dejan de atender en español a la 1 pm y el seguridad les da más prioridad a las personas que hablen en inglés .!,N
2 of 3 elevators were out of order. Edd on the 6th floor. Crammed elevators,N
Asian representative was not cooperative and disrespectful.,N
Poder Ablar con alguien por teléfono pero nunca nadie contesta,N
"It's ABSOLUTELY IMPOSSIBLE to get through on the phone, called for over a weeks for hours and NOTHING!!!  Something needs to be done!!  Everyone here in the waiting area says the thing.",N
Hire more people to do the job!,N
Hire more people to assist at the field office,O
Almost impossible to get an appointment at the Oakland office.,N
You guys need more workers at this location! The line took forever,N
There was at most two people working and not consistently. There were four windows and I waited 4 1/2 hours to be told that PFL doesn't have a physical address and that I would get a call.,N
I emailed several times in the portal asking for un update. The response I received was your claim was updated without any further information. I called multiples times and I was told my call could not be tended to because there wasn't anyone available due to excessive calls.,N
There are three windows and nobody there to attend the people for a few minutes,N
I waited for 6 hours to get my question answered in 2 minutes. Perhaps hiring more employees or moving people allowing based on the reason for their visit would be more productive.,N
Pésimo servicio,N
Need more employees,O
They need translators provided for clients,O
Require masks,O
I can't get past ID Me or anyone on the phone  so I have to go to the office to get a phone call.,N
The visit was okay. Didn't have to wait very long. The lady was helpful but told me I would be called the same day with the update and no one ever called me and I'm still having issues with my claim.,O
customer service has lots of discrimination,N
Pésimo servicio racismo,N
Associate was unable to provide any type of update. She said it wasn't her department.,O
It takes 3 hours to do anything here,O
"Sasha at the SD Office was extremely compassionate and helpful. This was only the 2nd time I felt respected by a worker at this Office and I visited every week for 2 straight months looking to receive help and answers regarding my pregnancy leave resources. The IDME website is horrid and overall my experience making a claim was one of the more stressful experiences EVER. Generally, the workers in the SD Office are rude and each providing contradictory information. I feel they hate their jobs and try to punish you for coming in. I hope my next experience goes much better, it's hard to believe I had to fight So Hard for My Own Money. This system and Office needs MAJOR IMPROVEMENTS OVERALL",O
This office was no help the people were very rude and unhelpful seems as if they get joy out of making things difficult or they are lazy and want to push it to the next person instead of providing the help you need,N
"Why is so difficult to receive my money it been 11 weeks and it's the same cutover and over!!  Pls.. help me!! I'm losing my car, and behind on my rent. Pls make it easier for seniors to get our money",N
The people you have like the security guards and the black lady and the Mexican lady downstairs helping check people in tear people worse then animals. People are here because they are sick and to be treated less than human is disrespectful and disgusting. These people you have hired for security need to go back for training. I was told to get out of a chair because the security guard was going to sit!!! If she is working then they should not be sitting on their asses shoveling food in their face and socializing while treating people like animals. I will report this to the state. This treatment is unacceptable. The customers coming in should be able to have 1 person with them and not be treated badly. My husband had 2 heart attacks in 1 week and I was treated badly because my husband wanted me by his side!!!!! Your Inter-Con employees need to be replaced all of the so called females!!!! I want a call to discuss 7076898854,N
I sent messages thru online and received no answer. I waited 1 hr in line at office for Shirley to just tell me in 2 min that someone will call me in an hour. That's horrible customer service. Please respond to online messages so I don't have to waste time being in line. Thank you,N
Website constantly down for maintenance. Turned in forms online was great for months now past 2 months resent forms multiple times with no website update. Office visit: Wait time Oakland I arrived at 8am it is now 11:20 and I am still waiting just for paperwork only 2 windows to help over 100 people. When calling in there is No representative available due to high call volume. Tried calling multiple times and says no representative available.  I just need to change return to work date!,N
"Office was very disorganized.  The workers are overworked and we're not treated respectfully. The waiting room was very small. You can hear the conversations of people in the counter. There's no privacy so other people can hear your business.  The only redeeming quality is the security officer. His name is Arturo Armas. Mr. Armas was very helpful, courteous and friendly. He helped direct people. He answered people's questions. He helped translate in Spanish. He was very patient. He should be given a raise and commendation because he deserves it.",N
You keep changing way to be serviced at this location. First wait in line then wait for phone call.  Now it's grab a number.  Get your stuff together or answer the phone,N
"Office reps say they'll call, often they don't. Questions are often not answered, when documents are returned, they don't seem to be worked on or attached to your file. This seems to repeatedly occur, there doesn't seem like anyone works with you for a solution.  Rarely do I leave this location with my answers, I shouldn't have to come here three days in one week.",N
1.the phone system needs to provide away to have the customer get in line and you call the customer back instead of insisting on multiple calls by the customer just to reach a representative.   2. The online system needs to have a way for out of state residents / out of state drivers license to access the online system. 3. The in person office needs to have a recognizable phone number so the customers phone rings when you call.  And please give out your office phone number for call backs.  4. The in person office needs to be able to offer tickets for standing in line for in person meetings and those tickets need to be available online.  Like at the DMV.  Then the customer can grab their ticket online and wait in their car or where ever they need to wait.  They can see when their ticket is coming due and get text messages updating them on their wait time.   5. The archaic system currently is demoralizing and a huge waste of time for everyone who is struggling to make it work,N
"The black security guard at the door was extremely rude when I asked where the EDD office was located. He said where the door is open while looking down on his phone watching videos while he's on the clock. I pointed to the door to the right and he responded with ""well yeah that's the only door open right"" I'm pregnant. He shouldn't have been rude about it. I felt so uncomfortable and he then got up like if he was going to do something and continued to watch videos on his phone. This guy shouldn't work here if he doesn't want to be bothered.",N
"When we come to office and they make us sit for a phone call rather than seeing someone in person, usually ( at least for me ) the times I have been helped on the phone , nothing gets resolved for me even if they say they will help me . Also I need someone to bring me because I'm disabled and can't drive so they make me waste the time of the person that helps me and it adds on stress and financial hardships as well.   Today that I'm here the person intake people said that there were 20 people ahead of me to see someone in person but at the office there weren't even 10 people in the chairs waiting . Also, it's the attitude we receive from them so unnecessary all I am trying to do here is resolve anything needed of my case.   When I've tried to call instead of coming in ,,, the calls always drop they never go through",N
"Everyone in the office takes lunch at the same time at 2 pm . They put us in line in a small room and told us to stand shoulder to shoulder to fit everyone about 60 people in a small room. This is a fire and health concern. Everyone took they're lunch with 60 people waiting in the little waiting room. Management needs training on staff scheduling so the office can provide quality service and work efficiently. I have not got paid in more than a month and all they tell me is that it will be processed soon. When this same situation happened in October and my payments were delayed one young lady ensured to assist me and proceeded my payments. Only time this office was useful. Security telling everyone to ""move forward there's a lot of space "" has obviously not had fire safety training. I'm asthmatic and immunocomprimised to have atleast 12 inches of distance between the person behind me and person infront of me is a right . Disgusting office",N
I have been coming every week with no solution. I applied in sept. This is a huge hardship no one calls me or helps just keep getting told to wait,N
Had a question and when I'm gonna get my first. I arrived on site in oakland just before 10 AM. I didn't get a chance to talk to anyone at the counter until 2:35 PM.. this place is very inefficient. They need a third-party to manage their efficiency.,N
I had to request for time off at least twice to go to oEDD office and my problem still not resolved. The EDD does need to hire more staffs or at least come up with more efficient methods to help us. My claim been since 12/2023. What if I do rely on the money for my living?,N
This is a terrible feeling waiting to get paid when you have bills to pay and a family to take care of,N
The Edd is joke they send out letters to call a number nobody EVER answers the phone lines are always busy can never talk to anybody it took over two months to pay my claim no communication whatsoever then overpayed me now my ss# isn't in the system for some reason can't identify me to pay back money so I'm spending a day sitting in the Edd office trying to figure this out before they garnish my account and this isn't my fault it's ridiculous how poorly run this agency is. There are times when you need to talk to someone for help and it's never there. Also this office is really busy and there's only two windows open. You need a bigger waiting room.,N
"Today we just so happened to get a gentleman who was patient and took the time to listen and explain. He actually seemed to care. Times prior to today it was the run around with lack of knowledge, information given and lack of empathy. Just another number.  FYI- I was only present to assist a friend who's suffered from a stroke. So I've been present to witness the workflows as well as the lack of customer service.",O
"You have need to hire people with better attitudes that aren't disrespectful and dismissive. You have a security guard that was harassing people in and out of the office, she was looking in people accounts while they were trying to handle their business. It was very unorganized and understaffed.",N
"I filled a disability claim in Feb 2924. By the time I received my benefit payment, I started working to pay the rent. I chose to work, and my disability payments ended.   In October 2024, I told the doctor that my back hurt and asked to get a release from work form.  I used the EDD website to email EDD how to get disability benefits again. No answer for the month of November 2024.  I finally Googled EDD Disability office near me and found the office at 888 S. Figueroa Los Angeles CA.   I was told to take a disability claim form and start a new claim. I turned my claim form in on November 29, 2024. That was  two months ago. It is January 3, 2024.  It would be helpful for claimants if the EDD sent text, emails and letters to send alerts and new information and claim status.      I asked the medical office manager what I needed to do to get disability again. She said she could send EDD an email to restore my benefits.",N
"I live in Fairfield . I drove all the way to Sacramento. Take a number take a seat provide my phone number and took a phone call which I could easily done from home specially being that I have one functional hand employee on the phone told me to call the hotline, which, intern does not have enough employees to cover so the process is very difficult for disabled people to drive all the way here to take a phone call that they could easily done from home. It does not make any sense if the problem is finding people at work contract those employees out .",N
"Answer your phones, at location and 877 number. People and families need to get paid to handle bills and in order to provide for their growing families. It is completely ridiculous how little this place cares about people.",N
"A couple of weeks ago at the sdi office, I was told my application was in process. I used the phone customer care phone at edd office. Was told medical records not received. At sdi office was told proof af address doc sent, I didn't receive it. I took the printed form, prepared my docs and overnighted to sac. Wasting time by not giving detailed information could have made the process easier.",N
"Edd needs to revert back to Bank of America because we get paid days late with money network and EDD needs more phone representatives. The MAXIMUM NUMBER OF CALLERS IS ALWAYS REACHED ALLDAY. I can never get in touch with a representative. It's unacceptable. I've not been paid my benefits since 8/30/2024. I'm requesting of Edd interest and penalty fees! You receive your money every two weeks with no delay when I'm working. Why haven't I received payments in last two months?.. Please call me concerning these issues. Thank you.  Respectfully, Atilana Bronson  (650) 771-3250 (209) 470-5226",N
The staff in this office were extremely unorganized. At 3:45 they told us whoever was inside of the building would be helped. I was inside the building and at 4:30 they told myself and 3 other people we needed to leave because they had paperwork to do and were not able to assist us. They then went outside and collected the phone numbers of all those in line and told them they would call them back to help within 24-48 hours.,N
"The system currently set up to speak with a person is antiquated and inefficient.  If the telephone representatives answered the phones, you would have less people going to the physical location. There is ZERO accountability or audit of how well your phone system is working for the injured/disabled employee.  The online profile provides limited access and functionality. The government can do better!!",N
